[04/22/24 20:05:23.221] Host Health Monitor pid 1317601
stdout and stderr from Host Health Monitor are piped to this file.
[04/22/24 20:05:23.221] stdin is closed.
[04/22/24 20:05:23.221] timezone CST (-0600)
[04/22/24 20:05:23.221] Initialized callbacks for stdenv library
[04/22/24 20:05:23.221] Initialized Host Health Monitor
Sampling interval is set to 4s
Memory metric is set to pss (proportional set size)
Parsing smaps files is turned ON
[04/22/24 20:05:23.235] Starting HHM from parent process icv_worker (pid 1317588).
[04/22/24 20:05:23.235] Acquire process tree root from icv (pid 1317305)
[04/22/24 20:05:23.269] wall 0.03s, usr 0.00s, sys 0.02s
[04/22/24 20:05:27.263] wall 0.06s, usr 0.00s, sys 0.04s
[04/22/24 20:05:31.264] wall 0.09s, usr 0.01s, sys 0.06s
[04/22/24 20:05:35.263] wall 0.12s, usr 0.01s, sys 0.09s
[04/22/24 20:05:39.262] wall 0.15s, usr 0.02s, sys 0.11s
[04/22/24 20:05:43.272] wall 0.18s, usr 0.02s, sys 0.14s
[04/22/24 20:05:47.269] wall 0.22s, usr 0.02s, sys 0.17s
[04/22/24 20:05:51.264] wall 0.24s, usr 0.03s, sys 0.19s
[04/22/24 20:05:55.269] wall 0.28s, usr 0.03s, sys 0.23s
[04/22/24 20:05:59.270] wall 0.31s, usr 0.04s, sys 0.26s
[04/22/24 20:06:03.270] wall 0.35s, usr 0.04s, sys 0.29s
[04/22/24 20:06:07.264] wall 0.38s, usr 0.04s, sys 0.31s
[04/22/24 20:06:11.264] wall 0.41s, usr 0.05s, sys 0.33s
[04/22/24 20:06:15.268] wall 0.44s, usr 0.05s, sys 0.36s
[04/22/24 20:06:19.268] wall 0.47s, usr 0.06s, sys 0.39s
[04/22/24 20:06:23.264] wall 0.50s, usr 0.06s, sys 0.41s
[04/22/24 20:06:27.263] wall 0.53s, usr 0.07s, sys 0.44s
[04/22/24 20:06:31.269] wall 0.56s, usr 0.07s, sys 0.47s
[04/22/24 20:06:35.269] wall 0.60s, usr 0.07s, sys 0.49s
[04/22/24 20:06:39.264] wall 0.62s, usr 0.08s, sys 0.52s
[04/22/24 20:06:43.269] wall 0.66s, usr 0.08s, sys 0.55s
[04/22/24 20:06:47.264] wall 0.69s, usr 0.09s, sys 0.57s
[04/22/24 20:06:51.263] wall 0.72s, usr 0.09s, sys 0.60s
[04/22/24 20:06:55.262] wall 0.74s, usr 0.09s, sys 0.62s
[04/22/24 20:06:59.271] wall 0.78s, usr 0.09s, sys 0.66s
